Operation,Keywords,Description,When To Use,Key Steps,Critical Rules
adapt,"responsive, mobile, tablet, breakpoints, viewport, cross-device, touch targets","Adapt designs across screen sizes, devices, and platforms",User mentions responsive design or cross-device compatibility,"1. Identify source context 2. Understand target context 3. Plan adaptation strategy 4. Implement layout/touch/content/nav adaptations 5. Test on real devices","Never hide core functionality on mobile; always test real devices; use content-driven breakpoints"
animate,"animation, transitions, micro-interactions, motion, hover effects, alive","Add purposeful animations and micro-interactions",User wants animations or mentions UI feeling static,"1. Identify static areas 2. Understand context 3. Plan hero moment + feedback + transition + delight layers 4. Implement with proper timing/easing 5. Verify 60fps + reduced motion","Never bounce/elastic easing; only animate transform/opacity; respect prefers-reduced-motion"
arrange,"layout, spacing, visual hierarchy, crowded, alignment, composition","Improve layout, spacing, and visual rhythm",Layout feels off or spacing is inconsistent,"1. Assess spacing/hierarchy/grid/rhythm/density 2. Plan spacing system 3. Establish consistent scale 4. Create visual rhythm 5. Choose right layout tool 6. Verify with squint test","Never use arbitrary spacing; never wrap everything in cards; never nest cards; never center everything by default"
audit,"accessibility, performance, theming, responsive, quality, a11y","Run technical quality checks across 5 dimensions",User wants accessibility check or technical audit,"1. Run diagnostics across a11y/performance/responsive/theming/anti-patterns 2. Score each 0-4 3. Generate report with P0-P3 severity 4. Recommend actions","Document issues don't fix them; check ALL anti-pattern guidelines; be thorough but actionable"
bolder,"bland, generic, safe, personality, impact, character, boring","Amplify safe designs to be more visually interesting",Design looks bland or lacks personality,"1. Identify weakness sources 2. Understand context limits 3. Plan focal point + personality direction 4. Amplify typography/color/spatial/effects/motion 5. Verify not AI slop","Bold != chaotic; watch for AI slop traps; maintain usability; one focal point"
clarify,"confusing text, unclear labels, error messages, UX writing, instructions","Improve unclear UX copy and microcopy",Confusing text or poor error messages,"1. Find clarity problems 2. Understand audience context 3. Improve error messages/labels/buttons/help text/empty states 4. Apply 6 clarity principles","Never blame users; never use jargon without explanation; be specific not vague; consistent terminology"
colorize,"gray, dull, monochromatic, warmth, vibrant, color, palette","Add strategic color to monochromatic designs",Design looks gray or lacks visual warmth,"1. Assess current color state 2. Identify where color adds value 3. Plan dominant/accent colors (2-4 max) 4. Apply semantic/accent/background/data color 5. Maintain 60-30-10 balance","More color != better; never gray on colored backgrounds; never pure gray/black/white; WCAG contrast required"
critique,"review, evaluate, feedback, UX critique, design review","Evaluate design holistically with scoring",User asks to review or critique a design,"1. AI slop detection 2. Evaluate 10 dimensions 3. Score Nielsen's 10 heuristics 0-4 4. Present findings with P0-P3 severity 5. Persona red flags 6. Recommend actions","Be brutally honest; be specific not vague; prioritize ruthlessly; check ALL anti-patterns"
delight,"joy, personality, fun, memorable, micro-interactions, polish","Add moments of joy and personality",User wants more personality or fun in UI,"1. Find natural delight moments 2. Define delight strategy 3. Add micro-interactions/personality copy/illustrations/sounds/easter eggs 4. Verify appropriate and performant","Delight enhances never blocks; never delay core functionality; never overdo; appropriate to context"
extract,"components, design tokens, patterns, design system, refactor","Extract reusable components and design tokens",User wants to create components or design system,"1. Find design system 2. Identify repeated patterns 3. Assess extraction value (3+ uses) 4. Extract components with proper API/a11y 5. Create tokens 6. Migrate uses 7. Document","Don't extract one-offs; don't create overly generic components; respect existing conventions"
harden,"production-ready, edge cases, error states, i18n, overflow","Improve resilience for production reality",Making code production-ready or handling edge cases,"1. Test extreme inputs 2. Test error scenarios 3. Test i18n 4. Handle text overflow 5. Handle errors gracefully 6. Handle large datasets 7. Verify accessibility resilience","Never assume perfect input; validate everything; use Intl API for dates/numbers; use logical CSS properties for RTL"
normalize,"consistency, design drift, mismatched styles, tokens, standards","Realign UI to match design system standards",Features have drifted from design system,"1. Discover design system 2. Analyze deviations 3. Plan normalization 4. Fix typography/color/spacing/components/motion/responsive/a11y 5. Clean up code","Never create one-off components when design system equivalents exist; never hard-code values"
onboard,"onboarding, first-time, empty states, activation, getting started","Design onboarding flows and first-run experiences",User mentions onboarding or empty states,"1. Identify user challenge 2. Define success metrics 3. Design welcome/setup/core concepts/first success 4. Create empty states 5. Add contextual help","Get to value ASAP; teach 20% that delivers 80% value; make skippable; show don't tell"
optimize,"slow, laggy, janky, performance, bundle size, load time","Diagnose and fix UI performance issues",User mentions slowness or performance problems,"1. Measure Core Web Vitals 2. Identify bottlenecks 3. Optimize images/JS bundle/CSS/fonts 4. Fix rendering performance 5. Fix animation performance 6. Monitor","Measure before optimizing; never sacrifice accessibility; optimize biggest bottleneck first; test on real devices"
overdrive,"wow, impress, extraordinary, ambitious, go all-out","Push interfaces past conventional limits",User wants technically ambitious implementation,"1. Assess what extraordinary means for context 2. Propose 2-3 directions 3. Get user confirmation 4. Implement with progressive enhancement 5. Iterate visually","Always progressive enhancement; always prefers-reduced-motion; always fallbacks; propose before building"
polish,"finishing touches, pre-launch, looks off, good to great","Final quality pass before shipping",Pre-launch review or something looks off,"1. Review completeness 2. Fix alignment/spacing 3. Refine typography 4. Check all interaction states 5. Smooth transitions 6. Fix edge cases 7. Clean code","Polish is last step not first; don't polish incomplete features; zoom in on details; test real devices"
quieter,"too bold, overwhelming, aggressive, garish, calmer, refined","Tone down overstimulating designs",Design is too bold or overwhelming,"1. Identify intensity sources 2. Reduce color saturation 3. Reduce visual weight 4. Simplify decorative elements 5. Reduce motion intensity 6. Refine composition","Quieter != boring; maintain hierarchy; keep some personality; restraint requires precision"
typeset,"fonts, type, readability, text hierarchy, sizing, typography","Improve typography choices and hierarchy",Fonts or text hierarchy looks off,"1. Assess font choices 2. Check hierarchy 3. Check sizing scale 4. Fix readability 5. Establish consistent scale 6. Refine weight/spacing/kerning","Never >2-3 font families; never body text <16px; never px for font sizes; never pair similar fonts"
